DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
MAU,24.8,33.9,1004.7,57.9
SIDDHARTH NGR,25.9,37.1,1009.9,72.8
KUSHINAGAR,25.4,59.7,1158.4,83.1
AMBEDKAR NAGAR,25.8,32.6,904.8,50.1
KANNAUJ,27,28.9,776.7,69.7
BALRAMPUR,35.7,56.1,1071.7,84.4
KAUSHAMBI,27.2,18.9,765.6,50
SAHUJI MAHARA,29.3,20.2,885.9,50.9
KANPUR DEHAT,24.9,14.5,765,52.8
CHANDAULI,30.6,27.2,846.1,45.7
SANT KABIR NGR,24.9,36.4,990.7,58.6
SANT RAVIDAS,30.6,27.2,846.1,45.7
SHRAVASTI NGR,36.8,54.4,993.8,63.6
AGRA,27.4,22.2,687.2,37.8
ALIGARH,32.1,33.4,655.7,49.8
BAREILLY,39.2,36.9,853.8,66.7
BIJNOR,59.2,51.4,914.2,58.3
BADAUN,29.5,29.9,758,67.4
BULANDSHAHAR,29.4,31,670.7,47.9
ETAH,25,25.9,615.3,48.2
ETAWAH,25.6,22.2,728,53.8
HAMIRPUR,27.6,14.1,796.9,43.2
JALAUN,24.7,15.8,774.9,56.1
JHANSI,24.6,18.7,837.9,50.3
LALITPUR,30.4,16.7,939.3,48.2
MAINPURI,21.3,21.8,655.3,50
MATHURA,20.5,23.5,579.9,32
MEERUT,41.5,39.8,778.5,58.2
MORADABAD,44.3,33.5,855.2,59.9
MUZAFFARNAGAR,44.6,34.6,736.8,53.1
PILIBHIT,37.8,43.1,988.6,85.9
RAMPUR,44.2,48.8,915.5,49.1
SAHARANPUR,53.4,48.2,804.6,57.7
SHAHJAHANPUR,34.4,38,859.2,79.2
GHAZIABAD,37.9,36.6,641.7,50.1
FIROZABAD,24.2,21.6,676.3,43.4
MAHOBA,28,13.4,776.4,35.3
MAHAMAYA NAGA,21.9,25.1,625.4,38.4
AURAIYA,30,21.7,700,60.2
BAGPAT,33.6,33.7,545.3,33.5
JYOTIBA PHULE,38.5,34.2,783,61.7
GAUTAM BUDDHA,28.5,23.4,572.8,44.6
KANSHIRAM NAG,26,29,701.5,61.9
ALMORA,93,119.6,858.4,86.3
CHAMOLI,135.2,194.2,859.3,78.3
DEHRADUN,101,124.8,1802.1,96
GARHWAL PAURI,76.3,93.2,1213.5,81
NAINITAL,87,113,1439.1,104.6
